Excitation Kinetics:
Time (s)       S0                  S1                  
------------------------------------------------------------
1.0000e-15     9.900498e-01        9.950166e-03        
1.0014e-15     9.900361e-01        9.963855e-03        
1.0028e-15     9.900224e-01        9.977562e-03        
1.0042e-15     9.900087e-01        9.991289e-03        
1.0055e-15     9.899950e-01        1.000503e-02        
1.0069e-15     9.899812e-01        1.001880e-02        
1.0083e-15     9.899674e-01        1.003258e-02        
1.0097e-15     9.899536e-01        1.004638e-02        
1.0111e-15     9.899398e-01        1.006020e-02        
1.0125e-15     9.899260e-01        1.007404e-02        
1.0139e-15     9.899121e-01        1.008790e-02        
1.0153e-15     9.898982e-01        1.010178e-02        
1.0167e-15     9.898843e-01        1.011567e-02        
1.0181e-15     9.898704e-01        1.012959e-02        
1.0195e-15     9.898565e-01        1.014352e-02        
1.0209e-15     9.898425e-01        1.015748e-02        
1.0224e-15     9.898286e-01        1.017145e-02        
1.0238e-15     9.898146e-01        1.018544e-02        
1.0252e-15     9.898005e-01        1.019945e-02        
1.0266e-15     9.897865e-01        1.021348e-02        
1.0280e-15     9.897725e-01        1.022753e-02        
1.0294e-15     9.897584e-01        1.024160e-02        
1.0309e-15     9.897443e-01        1.025569e-02        
1.0323e-15     9.897302e-01        1.026979e-02        
1.0337e-15     9.897161e-01        1.028392e-02        
1.0351e-15     9.897019e-01        1.029807e-02        
1.0366e-15     9.896878e-01        1.031223e-02        
1.0380e-15     9.896736e-01        1.032641e-02        
1.0394e-15     9.896594e-01        1.034062e-02        
1.0409e-15     9.896452e-01        1.035484e-02        
1.0423e-15     9.896309e-01        1.036908e-02        
1.0438e-15     9.896167e-01        1.038335e-02        
1.0452e-15     9.896024e-01        1.039763e-02        
1.0467e-15     9.895881e-01        1.041193e-02        
1.0481e-15     9.895738e-01        1.042625e-02        
1.0495e-15     9.895594e-01        1.044059e-02        
1.0510e-15     9.895451e-01        1.045495e-02        
1.0525e-15     9.895307e-01        1.046933e-02        
1.0539e-15     9.895163e-01        1.048373e-02        
1.0554e-15     9.895019e-01        1.049815e-02        
1.0568e-15     9.894874e-01        1.051259e-02        
1.0583e-15     9.894730e-01        1.052704e-02        
1.0597e-15     9.894585e-01        1.054152e-02        
1.0612e-15     9.894440e-01        1.055602e-02        
1.0627e-15     9.894295e-01        1.057054e-02        
1.0641e-15     9.894149e-01        1.058508e-02        
1.0656e-15     9.894004e-01        1.059963e-02        
1.0671e-15     9.893858e-01        1.061421e-02        
1.0686e-15     9.893712e-01        1.062881e-02        
1.0700e-15     9.893566e-01        1.064343e-02        
1.0715e-15     9.893419e-01        1.065806e-02        
1.0730e-15     9.893273e-01        1.067272e-02        
1.0745e-15     9.893126e-01        1.068740e-02        
1.0760e-15     9.892979e-01        1.070210e-02        
1.0775e-15     9.892832e-01        1.071681e-02        
1.0790e-15     9.892684e-01        1.073155e-02        
1.0804e-15     9.892537e-01        1.074631e-02        
1.0819e-15     9.892389e-01        1.076109e-02        
1.0834e-15     9.892241e-01        1.077588e-02        
1.0849e-15     9.892093e-01        1.079070e-02        
1.0864e-15     9.891945e-01        1.080554e-02        
1.0879e-15     9.891796e-01        1.082040e-02        
1.0894e-15     9.891647e-01        1.083528e-02        
1.0909e-15     9.891498e-01        1.085018e-02        
1.0925e-15     9.891349e-01        1.086510e-02        
1.0940e-15     9.891200e-01        1.088004e-02        
1.0955e-15     9.891050e-01        1.089500e-02        
1.0970e-15     9.890900e-01        1.090998e-02        
1.0985e-15     9.890750e-01        1.092499e-02        
1.1000e-15     9.890600e-01        1.094001e-02        
1.1015e-15     9.890449e-01        1.095505e-02        
1.1031e-15     9.890299e-01        1.097011e-02        
1.1046e-15     9.890148e-01        1.098520e-02        
1.1061e-15     9.889997e-01        1.100030e-02        
1.1077e-15     9.889846e-01        1.101543e-02        
1.1092e-15     9.889694e-01        1.103058e-02        
1.1107e-15     9.889543e-01        1.104574e-02        
1.1123e-15     9.889391e-01        1.106093e-02        
1.1138e-15     9.889239e-01        1.107614e-02        
1.1153e-15     9.889086e-01        1.109137e-02        
1.1169e-15     9.888934e-01        1.110662e-02        
1.1184e-15     9.888781e-01        1.112189e-02        
1.1200e-15     9.888628e-01        1.113718e-02        
1.1215e-15     9.888475e-01        1.115249e-02        
1.1231e-15     9.888322e-01        1.116783e-02        
1.1246e-15     9.888168e-01        1.118318e-02        
1.1262e-15     9.888014e-01        1.119856e-02        
1.1277e-15     9.887860e-01        1.121395e-02        
1.1293e-15     9.887706e-01        1.122937e-02        
1.1309e-15     9.887552e-01        1.124481e-02        
1.1324e-15     9.887397e-01        1.126027e-02        
1.1340e-15     9.887243e-01        1.127575e-02        
1.1355e-15     9.887087e-01        1.129125e-02        
1.1371e-15     9.886932e-01        1.130677e-02        
1.1387e-15     9.886777e-01        1.132232e-02        
1.1403e-15     9.886621e-01        1.133788e-02        
1.1418e-15     9.886465e-01        1.135347e-02        
1.1434e-15     9.886309e-01        1.136908e-02        
1.1450e-15     9.886153e-01        1.138471e-02        
1.1466e-15     9.885996e-01        1.140036e-02        
1.1482e-15     9.885840e-01        1.141603e-02        
1.1498e-15     9.885683e-01        1.143173e-02        
1.1513e-15     9.885526e-01        1.144744e-02        
1.1529e-15     9.885368e-01        1.146318e-02        
1.1545e-15     9.885211e-01        1.147894e-02        
1.1561e-15     9.885053e-01        1.149472e-02        
1.1577e-15     9.884895e-01        1.151052e-02        
1.1593e-15     9.884737e-01        1.152634e-02        
1.1609e-15     9.884578e-01        1.154218e-02        
1.1625e-15     9.884420e-01        1.155805e-02        
1.1641e-15     9.884261e-01        1.157394e-02        
1.1658e-15     9.884102e-01        1.158985e-02        
1.1674e-15     9.883942e-01        1.160578e-02        
1.1690e-15     9.883783e-01        1.162173e-02        
1.1706e-15     9.883623e-01        1.163771e-02        
