Excitation Kinetics:
Time (s)       S0                  S1                  T1                  T2                  
--------------------------------------------------------------------------------
1.0000e-15     9.900498e-01        9.950166e-03        4.985039e-11        4.981715e-11        
1.0014e-15     9.900361e-01        9.963855e-03        4.998813e-11        4.995475e-11        
1.0028e-15     9.900224e-01        9.977562e-03        5.012624e-11        5.009273e-11        
1.0042e-15     9.900087e-01        9.991289e-03        5.026475e-11        5.023109e-11        
1.0055e-15     9.899950e-01        1.000503e-02        5.040363e-11        5.036984e-11        
1.0069e-15     9.899812e-01        1.001880e-02        5.054289e-11        5.050896e-11        
1.0083e-15     9.899674e-01        1.003258e-02        5.068255e-11        5.064847e-11        
1.0097e-15     9.899536e-01        1.004638e-02        5.082258e-11        5.078837e-11        
1.0111e-15     9.899398e-01        1.006020e-02        5.096301e-11        5.092865e-11        
1.0125e-15     9.899260e-01        1.007404e-02        5.110382e-11        5.106932e-11        
1.0139e-15     9.899121e-01        1.008790e-02        5.124502e-11        5.121037e-11        
1.0153e-15     9.898982e-01        1.010178e-02        5.138661e-11        5.135182e-11        
1.0167e-15     9.898843e-01        1.011567e-02        5.152859e-11        5.149365e-11        
1.0181e-15     9.898704e-01        1.012959e-02        5.167096e-11        5.163588e-11        
1.0195e-15     9.898565e-01        1.014352e-02        5.181372e-11        5.177850e-11        
1.0209e-15     9.898425e-01        1.015748e-02        5.195688e-11        5.192151e-11        
1.0224e-15     9.898286e-01        1.017145e-02        5.210044e-11        5.206492e-11        
1.0238e-15     9.898146e-01        1.018544e-02        5.224439e-11        5.220873e-11        
1.0252e-15     9.898005e-01        1.019945e-02        5.238874e-11        5.235293e-11        
1.0266e-15     9.897865e-01        1.021348e-02        5.253348e-11        5.249753e-11        
1.0280e-15     9.897725e-01        1.022753e-02        5.267863e-11        5.264252e-11        
1.0294e-15     9.897584e-01        1.024160e-02        5.282418e-11        5.278792e-11        
1.0309e-15     9.897443e-01        1.025569e-02        5.297013e-11        5.293372e-11        
1.0323e-15     9.897302e-01        1.026979e-02        5.311648e-11        5.307992e-11        
1.0337e-15     9.897161e-01        1.028392e-02        5.326324e-11        5.322653e-11        
