Excitation Kinetics:
Time (s)       S0                  S1                  S2                  T1                  T2                  
--------------------------------------------------------------------------------
1.0000e-15     9.900498e-01        4.981713e-06        9.945184e-03        4.985037e-11        4.981713e-11        
1.0014e-15     9.900361e-01        4.995473e-06        9.958859e-03        4.998811e-11        4.995473e-11        
1.0028e-15     9.900224e-01        5.009271e-06        9.972553e-03        5.012623e-11        5.009271e-11        
1.0042e-15     9.900087e-01        5.023107e-06        9.986266e-03        5.026473e-11        5.023107e-11        
1.0055e-15     9.899950e-01        5.036981e-06        9.999997e-03        5.040361e-11        5.036981e-11        
1.0069e-15     9.899812e-01        5.050894e-06        1.001375e-02        5.054288e-11        5.050894e-11        
1.0083e-15     9.899674e-01        5.064845e-06        1.002752e-02        5.068253e-11        5.064845e-11        
1.0097e-15     9.899536e-01        5.078835e-06        1.004130e-02        5.082257e-11        5.078835e-11        
1.0111e-15     9.899398e-01        5.092863e-06        1.005511e-02        5.096299e-11        5.092863e-11        
1.0125e-15     9.899260e-01        5.106929e-06        1.006893e-02        5.110380e-11        5.106930e-11        
1.0139e-15     9.899121e-01        5.121035e-06        1.008278e-02        5.124500e-11        5.121035e-11        
1.0153e-15     9.898982e-01        5.135180e-06        1.009664e-02        5.138659e-11        5.135180e-11        
1.0167e-15     9.898843e-01        5.149363e-06        1.011052e-02        5.152857e-11        5.149363e-11        
1.0181e-15     9.898704e-01        5.163586e-06        1.012443e-02        5.167094e-11        5.163586e-11        
1.0195e-15     9.898565e-01        5.177848e-06        1.013835e-02        5.181371e-11        5.177848e-11        
1.0209e-15     9.898425e-01        5.192149e-06        1.015228e-02        5.195687e-11        5.192149e-11        
1.0224e-15     9.898286e-01        5.206490e-06        1.016624e-02        5.210042e-11        5.206490e-11        
1.0238e-15     9.898146e-01        5.220871e-06        1.018022e-02        5.224437e-11        5.220871e-11        
1.0252e-15     9.898005e-01        5.235291e-06        1.019422e-02        5.238872e-11        5.235291e-11        
1.0266e-15     9.897865e-01        5.249750e-06        1.020823e-02        5.253347e-11        5.249751e-11        
1.0280e-15     9.897725e-01        5.264250e-06        1.022227e-02        5.267861e-11        5.264250e-11        
1.0294e-15     9.897584e-01        5.278790e-06        1.023632e-02        5.282416e-11        5.278790e-11        
1.0309e-15     9.897443e-01        5.293370e-06        1.025039e-02        5.297011e-11        5.293370e-11        
1.0323e-15     9.897302e-01        5.307990e-06        1.026449e-02        5.311646e-11        5.307990e-11        
1.0337e-15     9.897161e-01        5.322650e-06        1.027860e-02        5.326322e-11        5.322650e-11        
1.0351e-15     9.897019e-01        5.337351e-06        1.029273e-02        5.341038e-11        5.337351e-11        
1.0366e-15     9.896878e-01        5.352093e-06        1.030688e-02        5.355795e-11        5.352093e-11        
1.0380e-15     9.896736e-01        5.366875e-06        1.032105e-02        5.370592e-11        5.366875e-11        
1.0394e-15     9.896594e-01        5.381698e-06        1.033524e-02        5.385431e-11        5.381698e-11        
1.0409e-15     9.896452e-01        5.396562e-06        1.034944e-02        5.400310e-11        5.396562e-11        
1.0423e-15     9.896309e-01        5.411467e-06        1.036367e-02        5.415231e-11        5.411467e-11        
1.0438e-15     9.896167e-01        5.426412e-06        1.037792e-02        5.430192e-11        5.426413e-11        
1.0452e-15     9.896024e-01        5.441400e-06        1.039219e-02        5.445195e-11        5.441400e-11        
1.0467e-15     9.895881e-01        5.456428e-06        1.040647e-02        5.460239e-11        5.456428e-11        
1.0481e-15     9.895738e-01        5.471498e-06        1.042078e-02        5.475325e-11        5.471498e-11        
1.0495e-15     9.895594e-01        5.486610e-06        1.043510e-02        5.490453e-11        5.486610e-11        
1.0510e-15     9.895451e-01        5.501763e-06        1.044945e-02        5.505622e-11        5.501763e-11        
1.0525e-15     9.895307e-01        5.516958e-06        1.046381e-02        5.520833e-11        5.516958e-11        
1.0539e-15     9.895163e-01        5.532195e-06        1.047820e-02        5.536086e-11        5.532195e-11        
1.0554e-15     9.895019e-01        5.547475e-06        1.049260e-02        5.551381e-11        5.547475e-11        
1.0568e-15     9.894874e-01        5.562796e-06        1.050702e-02        5.566719e-11        5.562796e-11        
1.0583e-15     9.894730e-01        5.578159e-06        1.052147e-02        5.582099e-11        5.578159e-11        
1.0597e-15     9.894585e-01        5.593565e-06        1.053593e-02        5.597521e-11        5.593565e-11        
1.0612e-15     9.894440e-01        5.609014e-06        1.055041e-02        5.612986e-11        5.609014e-11        
1.0627e-15     9.894295e-01        5.624505e-06        1.056491e-02        5.628493e-11        5.624505e-11        
1.0641e-15     9.894149e-01        5.640038e-06        1.057944e-02        5.644044e-11        5.640039e-11        
1.0656e-15     9.894004e-01        5.655615e-06        1.059398e-02        5.659637e-11        5.655615e-11        
1.0671e-15     9.893858e-01        5.671235e-06        1.060854e-02        5.675273e-11        5.671235e-11        
1.0686e-15     9.893712e-01        5.686897e-06        1.062312e-02        5.690953e-11        5.686898e-11        
1.0700e-15     9.893566e-01        5.702603e-06        1.063772e-02        5.706676e-11        5.702603e-11        
1.0715e-15     9.893419e-01        5.718353e-06        1.065234e-02        5.722442e-11        5.718353e-11        
1.0730e-15     9.893273e-01        5.734145e-06        1.066699e-02        5.738251e-11        5.734145e-11        
1.0745e-15     9.893126e-01        5.749982e-06        1.068165e-02        5.754105e-11        5.749982e-11        
1.0760e-15     9.892979e-01        5.765862e-06        1.069633e-02        5.770002e-11        5.765862e-11        
1.0775e-15     9.892832e-01        5.781785e-06        1.071103e-02        5.785943e-11        5.781786e-11        
1.0790e-15     9.892684e-01        5.797753e-06        1.072575e-02        5.801928e-11        5.797753e-11        
1.0804e-15     9.892537e-01        5.813765e-06        1.074049e-02        5.817957e-11        5.813765e-11        
1.0819e-15     9.892389e-01        5.829821e-06        1.075526e-02        5.834030e-11        5.829821e-11        
1.0834e-15     9.892241e-01        5.845921e-06        1.077004e-02        5.850148e-11        5.845921e-11        
1.0849e-15     9.892093e-01        5.862066e-06        1.078484e-02        5.866310e-11        5.862066e-11        
1.0864e-15     9.891945e-01        5.878255e-06        1.079966e-02        5.882517e-11        5.878255e-11        
1.0879e-15     9.891796e-01        5.894489e-06        1.081451e-02        5.898769e-11        5.894489e-11        
1.0894e-15     9.891647e-01        5.910768e-06        1.082937e-02        5.915065e-11        5.910768e-11        
1.0909e-15     9.891498e-01        5.927091e-06        1.084425e-02        5.931406e-11        5.927091e-11        
1.0925e-15     9.891349e-01        5.943460e-06        1.085916e-02        5.947793e-11        5.943460e-11        
1.0940e-15     9.891200e-01        5.959874e-06        1.087408e-02        5.964225e-11        5.959874e-11        
1.0955e-15     9.891050e-01        5.976333e-06        1.088903e-02        5.980702e-11        5.976333e-11        
1.0970e-15     9.890900e-01        5.992837e-06        1.090399e-02        5.997224e-11        5.992837e-11        
1.0985e-15     9.890750e-01        6.009387e-06        1.091898e-02        6.013793e-11        6.009387e-11        
1.1000e-15     9.890600e-01        6.025983e-06        1.093398e-02        6.030407e-11        6.025983e-11        
1.1015e-15     9.890449e-01        6.042624e-06        1.094901e-02        6.047066e-11        6.042624e-11        
1.1031e-15     9.890299e-01        6.059312e-06        1.096406e-02        6.063772e-11        6.059312e-11        
1.1046e-15     9.890148e-01        6.076045e-06        1.097912e-02        6.080524e-11        6.076045e-11        
1.1061e-15     9.889997e-01        6.092825e-06        1.099421e-02        6.097322e-11        6.092825e-11        
1.1077e-15     9.889846e-01        6.109651e-06        1.100932e-02        6.114167e-11        6.109651e-11        
1.1092e-15     9.889694e-01        6.126523e-06        1.102445e-02        6.131058e-11        6.126523e-11        
1.1107e-15     9.889543e-01        6.143442e-06        1.103960e-02        6.147995e-11        6.143442e-11        
1.1123e-15     9.889391e-01        6.160407e-06        1.105477e-02        6.164980e-11        6.160407e-11        
1.1138e-15     9.889239e-01        6.177419e-06        1.106996e-02        6.182011e-11        6.177419e-11        
1.1153e-15     9.889086e-01        6.194479e-06        1.108517e-02        6.199089e-11        6.194479e-11        
1.1169e-15     9.888934e-01        6.211585e-06        1.110041e-02        6.216215e-11        6.211585e-11        
1.1184e-15     9.888781e-01        6.228738e-06        1.111566e-02        6.233388e-11        6.228739e-11        
1.1200e-15     9.888628e-01        6.245939e-06        1.113093e-02        6.250608e-11        6.245939e-11        
1.1215e-15     9.888475e-01        6.263187e-06        1.114623e-02        6.267875e-11        6.263188e-11        
1.1231e-15     9.888322e-01        6.280483e-06        1.116154e-02        6.285191e-11        6.280483e-11        
1.1246e-15     9.888168e-01        6.297827e-06        1.117688e-02        6.302554e-11        6.297827e-11        
1.1262e-15     9.888014e-01        6.315218e-06        1.119224e-02        6.319965e-11        6.315218e-11        
1.1277e-15     9.887860e-01        6.332658e-06        1.120762e-02        6.337424e-11        6.332658e-11        
1.1293e-15     9.887706e-01        6.350145e-06        1.122302e-02        6.354931e-11        6.350145e-11        
1.1309e-15     9.887552e-01        6.367681e-06        1.123844e-02        6.372487e-11        6.367681e-11        
1.1324e-15     9.887397e-01        6.385265e-06        1.125388e-02        6.390091e-11        6.385265e-11        
1.1340e-15     9.887243e-01        6.402898e-06        1.126935e-02        6.407743e-11        6.402898e-11        
1.1355e-15     9.887087e-01        6.420579e-06        1.128483e-02        6.425445e-11        6.420579e-11        
1.1371e-15     9.886932e-01        6.438309e-06        1.130034e-02        6.443195e-11        6.438309e-11        
1.1387e-15     9.886777e-01        6.456088e-06        1.131586e-02        6.460994e-11        6.456088e-11        
1.1403e-15     9.886621e-01        6.473916e-06        1.133141e-02        6.478842e-11        6.473916e-11        
1.1418e-15     9.886465e-01        6.491793e-06        1.134698e-02        6.496740e-11        6.491793e-11        
1.1434e-15     9.886309e-01        6.509719e-06        1.136257e-02        6.514687e-11        6.509719e-11        
1.1450e-15     9.886153e-01        6.527695e-06        1.137818e-02        6.532683e-11        6.527695e-11        
1.1466e-15     9.885996e-01        6.545721e-06        1.139381e-02        6.550730e-11        6.545721e-11        
